timestamp_unix,date_str,symbol,open,high,low,close,volume,volumeUsd
1577685600.0,2019-12-30 06-AM,BTCUSD,7398.3,7404.5,7394.9,7404.5,22.8,168673.21
1577682000.0,2019-12-30 05-AM,BTCUSD,7395,7400.3,7394.9,7398.3,15.17,112217.83
1577678400.0,2019-12-30 04-AM,BTCUSD,7380.6,7395.1,7376.3,7395,30.01,221590.45
1577674800.0,2019-12-30 03-AM,BTCUSD,7389.1,7389.2,7372.8,7380.6,34.02,251076.31
1577671200.0,2019-12-30 02-AM,BTCUSD,7381.89,7394.1,7372.62,7389.1,15.98,117999.78
1577667600.0,2019-12-30 01-AM,BTCUSD,7367.7,7383.6,7357.2,7381.89,83.09,612458.72
1577664000.0,2019-12-30 12-AM,BTCUSD,7413.6,7416.1,7332.8,7367.7,237.64,1751194.84
1577660400.0,2019-12-29 11-PM,BTCUSD,7420,7440.64,7410,7413.6,96.33,715657.01
1577656800.0,2019-12-29 10-PM,BTCUSD,7420.95,7449.9,7420,7420,38.43,285755.66
1577653200.0,2019-12-29 09-PM,BTCUSD,7423.9,7435.2,7387.8,7420.95,198.72,1473601.1
1577649600.0,2019-12-29 08-PM,BTCUSD,7496,7551.6,7384.1,7423.9,601.04,4491227.2
1577646000.0,2019-12-29 07-PM,BTCUSD,7447.9,7496,7443.4,7496,283.45,2119277.71
1577642400.0,2019-12-29 06-PM,BTCUSD,7433.07,7448,7425.8,7447.9,96.36,716810.11
1577638800.0,2019-12-29 05-PM,BTCUSD,7433.8,7435,7407.5,7433.07,57.76,428522.77
1577635200.0,2019-12-29 04-PM,BTCUSD,7418,7455,7414.8,7433.8,145.2,1080042.74
1577631600.0,2019-12-29 03-PM,BTCUSD,7412.3,7438.8,7392,7418,105.74,784270.33
1577628000.0,2019-12-29 02-PM,BTCUSD,7429.83,7434.2,7407,7412.3,114.48,849459.57
1577624400.0,2019-12-29 01-PM,BTCUSD,7386.9,7439.7,7370,7429.83,319.31,2366503.22
1577620800.0,2019-12-29 12-PM,BTCUSD,7363.07,7390.3,7355,7386.9,123.46,910875.05
1577617200.0,2019-12-29 11-AM,BTCUSD,7349,7363.4,7349,7363.07,14.78,108776.39
